Batch_ID,Date,Factory,Ingredient,Cp,Cpk,Pp,Ppk,Dosing_Accuracy_%
B1107,23-Jun-2024,khamgaon,Frisis,1.295,1.042,1.315,0.885,100.28
B1029,08-16-2024,Haridwar Pc,Noodles,1.226,1.375,1.22,1.075,
B1037,26/02/2024,Nepal PC,Noodles,1.322,1.251,0.98,1.349,99.82
B1177,2024-06-03,sumerpur pc,PAS,0.91,,1.65,1.029,102.17
B1097,24/11/2024,Nepal Pc,PAS,1.18,1.351,1.071,,99.22
B1168,04-15-2024,KHAMGAON,Noodles,1.367,1.278,1.266,1.263,
B1086,25-Mar-2024,Haridwar PC,Frisis,1.373,0.957,1.623,1.145,97.71
B1132,09-20-2024,Sumerpur,Noodles,1.257,1.103,,0.831,97.34
B1056,01/09/2024,Nepal Pc,PAS,1.541,1.116,1.153,1.131,97.86
B1107,09-04-2024,LLPL ,Perfume,1.448,4.726,1.315,0.8,100.89
B1105,2024-03-18,Haridwar Pc,Perfume,1.155,1.318,1.273,1.24,99.2
B1018,15/05/2024,Nepal Pc,Frisis,1.633,1.298,1.296,1.085,97.77
B1064,2024-07-09,Nepal PC,Perfume,1.307,1.288,,0.947,99.64
B1110,2024-01-06,SUMERPUR PC,Perfume,1.325,0.774,1.36,1.451,100.58
B1115,18/02/2024,LLPL,Frisis,1.298,1.239,1.038,,94.28
B1092,03-08-2024,Khamgaon,Noodles,1.171,1.382,1.71,0.977,118.43
B1053,12-17-2024,khamgaon,PAS,1.779,1.062,1.293,1.224,100.24
B1059,23-Jan-2024,sumerpur pc,Frisis,1.617,1.175,1.58,0.785,102.27
B1007,26-Jan-2024,Nepal PC,Perfume,1.294,1.065,1.112,1.544,98.76
B1019,2024-02-03,Sumerpur PC,Perfume,1.082,1.341,1.319,,101.49
B1055,15-Aug-2024,Nepal PC,Perfume,1.19,1.018,1.302,1.052,100.9
B1074,2024-05-27,Haridwar,PAS,1.328,,1.131,1.168,99.02
B1144,2024-06-26,Pondichery PC,Noodles,1.281,1.168,1.305,1.215,
B1140,06-02-2024,Nepal Pc,Noodles,1.097,0.919,1.213,1.04,97.91
B1027,2024-04-13,HARIDWAR PC,PAS,1.254,1.074,1.259,1.021,100.95
B1084,2024-09-03,sumerpur pc,Frisis,1.737,0.851,1.111,0.906,100.84
B1105,28-Jan-2024,Haridwar,Frisis,1.558,1.286,1.082,0.988,100.0
B1116,12-09-2024,khamgaon,Frisis,0.853,0.856,1.116,1.282,101.83
B1048,12/09/2024,L.L.P.L,Perfume,1.197,0.934,1.141,0.549,100.53
B1021,05-Feb-2024,pondicherry pc,Noodles,1.343,1.077,1.19,0.754,98.42
B1089,30/04/2024,khamgaon,Perfume,1.09,0.98,0.825,0.945,98.36
B1114,2024-05-14,Haridwar,PAS,1.628,1.056,1.021,1.027,100.45
B1192,31-Jan-2024,Sumerpur PC,PAS,1.566,1.124,1.413,1.174,101.43
B1088,08-11-2024,Pondicherry,Frisis,1.281,-,1.245,1.062,103.19
B1052,22/11/2024,LLPL,Noodles,1.256,,1.38,1.247,101.18
B1125,2024-02-16,KHAMGAON,PAS,,1.264,,0.752,99.54
B1169,06-01-2024,LLPL ,Perfume,1.57,,0.91,0.969,97.66
B1058,2024-01-23,Pondicherry,Noodles,1.592,,,1.374,97.15
B1083,27-Aug-2024,Pondicherry PC,Perfume,1.197,1.027,1.109,1.11,98.56
B1192,13-Jun-2024,haridwar pc,Noodles,1.608,1.23,,0.772,98.24
B1196,19/01/2024,Khamgaon,Frisis,1.054,1.055,1.36,0.856,99.66
B1192,25/03/2024,NEPAL PC,Perfume,1.441,1.0,1.292,1.268,99.33
B1180,05-14-2024,Sumerpur,Noodles,1.331,1.014,1.274,1.159,99.57
B1033,03/11/2024,Sumerpur PC,Frisis,1.556,0.881,1.324,1.146,99.46
B1195,10-22-2024,pondicherry pc,Noodles,,0.742,1.321,0.967,99.62
B1148,2024-11-13,Haridwar PC,PAS,1.685,1.093,1.563,0.526,100.73
B1016,12-29-2024,Nepal PC,PAS,0.96,1.037,1.102,1.047,
B1059,10-22-2024,pondicherry pc,Perfume,1.312,1.456,1.368,1.093,100.16
B1018,2024-03-23,NEPAL PC,Frisis,1.427,1.111,0.89,0.921,95.17
B1000,15-May-2024,pondicherry pc,Frisis,1.001,1.263,1.521,1.036,101.01
B1105,01-Apr-2024,NEPAL PC,PAS,1.046,0.97,1.005,1.057,98.35
B1190,18-Aug-2024,Khamagon,PAS,0.992,1.145,1.511,0.729,99.78
B1179,2024-01-24,Nepal Pc,Perfume,1.395,1.086,1.243,1.196,99.58
B1066,04-06-2024,Nepal Pc,Perfume,1.431,1.456,1.075,1.058,99.1
B1161,02-03-2024,Sumerpur Pc,Noodles,1.271,1.348,0.931,0.93,99.51
B1022,24-Feb-2024,Khamagon,Perfume,1.108,1.274,1.287,1.488,98.29
B1056,28-Oct-2024,Llpl,Frisis,1.241,1.053,1.566,1.203,98.8
B1080,23/08/2024,Haridwar Pc,Frisis,1.493,0.955,1.737,0.696,97.95
B1151,12-23-2024,llpl,PAS,1.424,1.184,1.33,1.005,99.51
B1061,04/02/2024,SUMERPUR PC,Noodles,1.345,,1.779,1.009,
B1046,12/09/2024,Llpl,Perfume,1.333,1.07,1.392,1.241,98.32
B1039,03-23-2024,Sumerpur Pc,PAS,N/A,0.834,1.289,,100.61
B1170,12-05-2024,KHAMGAON,Noodles,1.389,1.396,1.146,0.888,98.75
B1132,05-Jan-2024,pondicherry pc,PAS,,1.008,1.163,0.988,99.83
B1023,29-Jan-2024,Sumerpur Pc,Frisis,1.507,1.357,1.161,,98.86
B1055,08-31-2024,sumerpur pc,Noodles,1.349,,1.743,0.99,98.52
B1025,22-Oct-2024,Haridwar,Frisis,1.541,1.004,1.276,,100.05
B1158,01/05/2024,Pondichery PC,Frisis,0.934,1.159,1.302,1.051,
B1167,21-Jul-2024,KHAMGAON,PAS,0.944,0.991,1.272,0.82,100.06
B1047,2024-09-15,Nepal,PAS,1.541,1.338,1.004,1.169,100.55
B1007,2024-06-15,haridwar pc,Perfume,1.274,0.701,0.99,1.359,101.48
B1056,03-Nov-2024,HARIDWAR PC,PAS,1.836,0.862,1.312,1.177,100.12
B1168,04/11/2024,Pondicherry PC,Frisis,1.853,,1.139,0.776,99.37
B1047,20-Dec-2024,HARIDWAR PC,Perfume,0.729,1.08,1.258,1.153,101.31
B1192,29-Apr-2024,LLPL ,Perfume,1.595,1.114,1.662,1.401,99.13
B1110,03/09/2024,Sumerpur Pc,Noodles,0.911,1.046,0.831,1.101,99.11
B1113,05-18-2024,Pondicherry PC,Perfume,1.478,,1.202,0.975,100.57
B1186,2024-02-14,KHAMGAON,Perfume,1.214,1.201,1.244,1.104,99.15
B1116,20-Feb-2024,NEPAL PC,Perfume,1.131,,1.445,1.021,98.26
B1123,2024-05-31,L.L.P.L,Noodles,1.183,1.205,1.574,1.364,97.99
B1056,02-10-2024,Pondicherry PC,Perfume,0.802,1.175,1.496,0.808,102.01
B1164,2024-01-26,Haridwar PC,PAS,1.169,1.29,1.202,1.221,
B1135,02-09-2024,Khamgaon,Frisis,1.096,,1.552,1.13,98.98
B1103,12-Jul-2024,Sumerpur PC,Noodles,1.327,,,0.999,101.76
B1122,06-Aug-2024,Sumerpur PC,Noodles,1.297,0.921,1.265,,
B1147,2024-05-13,LLPL ,Frisis,0.947,1.078,1.069,0.903,101.35
B1127,05-11-2024,Haridwar Pc,PAS,1.286,1.054,1.389,1.42,101.19
B1192,2024-07-02,Pondichery PC,PAS,1.35,,1.46,1.271,101.28
B1158,20-Jan-2024,NEPAL PC,PAS,1.064,1.165,1.5,,100.24
B1027,10-11-2024,SUMERPUR PC,PAS,0.938,0.819,1.106,1.007,99.97
B1017,01-23-2024,HARIDWAR PC,Perfume,1.428,,1.218,1.211,100.08
B1093,2024-04-24,SUMERPUR PC,Perfume,1.604,1.082,1.323,1.31,112.24
B1193,02-Jun-2024,Khamgaon,Frisis,,1.2,1.708,0.841,
B1087,28/02/2024,Sumerpur PC,Perfume,1.287,1.069,1.462,0.603,99.85
B1086,2024-09-10,LLPL ,Frisis,1.086,3.523,1.346,1.005,100.57
B1117,2024-09-23,LLPL,PAS,0.81,1.512,1.011,1.042,101.25
B1042,04-02-2024,khamgaon,Noodles,1.226,1.35,1.115,1.106,98.25
B1185,18-Jun-2024,Nepal PC,PAS,1.112,1.044,0.911,1.03,
B1045,11-11-2024,haridwar pc,Frisis,1.303,1.391,1.197,1.594,100.44
B1038,19-Dec-2024,Haridwar,Frisis,1.263,1.019,1.13,1.202,101.16
B1139,09-May-2024,Nepal,Frisis,,0.813,1.212,1.061,
B1198,30/05/2024,Sumerpur,PAS,1.376,0.949,1.237,1.116,99.98
B1063,16/05/2024,llpl,Noodles,1.138,1.196,1.176,0.883,98.47
B1179,2024-07-14,L.L.P.L,PAS,1.241,0.817,1.166,0.981,98.3
B1139,2024-07-03,Khamgoan,Frisis,1.839,1.234,1.125,0.966,97.57
B1137,06/07/2024,Sumerpur PC,Noodles,1.445,0.795,1.09,1.318,98.17
B1052,06-09-2024,SUMERPUR PC,Perfume,1.235,0.799,1.201,0.995,95.45
B1141,2024-03-30,Nepal Pc,Frisis,1.53,,0.936,0.852,100.91
B1110,2024-12-06,sumerpur pc,Perfume,1.252,1.16,1.243,0.816,101.21
B1038,2024-07-28,Llpl,PAS,,1.31,1.319,0.975,
B1019,08-Oct-2024,NEPAL PC,PAS,1.544,1.004,1.213,,97.84
B1076,15/10/2024,SUMERPUR PC,Noodles,0.782,1.031,1.176,0.768,98.33
B1094,15-Sep-2024,nepal pc,Perfume,0.902,1.213,1.123,1.249,99.08
B1030,29-Mar-2024,Khamgoan,PAS,1.133,1.115,1.204,1.24,
B1149,28/04/2024,khamgaon,Frisis,1.268,1.007,1.262,,103.02
B1119,21/01/2024,Nepal PC,Perfume,1.405,1.423,,1.141,99.13
B1144,2024-06-26,Pondichery PC,Noodles,1.281,1.168,1.305,1.215,
B1156,27/11/2024,Khamgoan,Perfume,,0.974,1.425,1.16,98.43
B1040,10/03/2024,Sumerpur PC,Frisis,1.873,0.822,0.921,1.255,103.16
B1026,14-Sep-2024,Nepal Pc,PAS,2.041,1.081,1.063,1.201,97.81
B1106,29-Aug-2024,Sumerpur,Perfume,1.143,1.011,0.916,0.896,101.99
B1078,04-Nov-2024,Pondichery PC,Perfume,1.513,0.976,1.103,1.166,98.68
B1097,04-18-2024,LLPL,Perfume,1.464,0.905,1.407,1.282,98.27
B1052,04-18-2024,Khamgaon,Noodles,1.356,1.103,1.27,0.895,99.54
B1107,09-04-2024,LLPL ,Perfume,1.448,4.726,1.315,0.8,100.89
B1062,2024-12-08,Pondicherry,PAS,1.22,1.209,1.457,0.608,100.04
B1107,31-Jan-2024,Llpl,PAS,1.124,0.959,1.721,,100.91
B1055,15-Aug-2024,Nepal PC,Perfume,1.19,1.018,1.302,1.052,100.9
B1096,08-Feb-2024,KHAMGAON,Frisis,1.566,1.009,1.377,0.745,129.75
B1054,22-Jun-2024,haridwar pc,Noodles,1.358,0.789,1.316,,100.75
B1190,2024-08-31,LLPL ,Noodles,1.188,1.332,1.408,1.175,100.44
B1040,12-26-2024,Nepal PC,Noodles,0.986,,1.427,0.86,98.24
B1022,2024-03-12,SUMERPUR PC,PAS,1.19,1.389,1.289,1.256,97.27
B1116,18-Nov-2024,Haridwar Pc,Noodles,1.174,0.79,1.264,0.838,100.21
B1118,2024-10-14,L.L.P.L,PAS,1.325,1.082,1.406,1.558,100.29
B1076,10-Dec-2024,LLPL,Noodles,1.172,1.134,1.417,0.872,96.01
B1134,01-Sep-2024,khamgaon,Noodles,1.397,,1.749,1.049,129.84
B1200,15/04/2024,haridwar pc,PAS,1.532,0.747,1.479,0.786,99.16
B1095,2024-05-07,SUMERPUR PC,PAS,0.731,,1.116,1.258,98.59
B1025,31/05/2024,Khamgoan,Perfume,1.323,1.226,,1.403,99.85
B1197,06-28-2024,Nepal Pc,Noodles,1.26,1.181,1.627,1.085,99.89
B1111,2024-04-23,NEPAL PC,PAS,1.565,0.748,1.013,0.642,99.1
B1056,02-10-2024,SUMERPUR PC,Frisis,1.248,1.074,1.448,0.949,97.74
B1001,2024-09-30,HARIDWAR PC,Frisis,1.042,0.994,,1.174,101.19
B1072,06-16-2024,Haridwar PC,Frisis,1.176,1.066,1.175,0.815,100.69
B1092,04-02-2024,KHAMGAON,Noodles,1.33,1.203,1.392,0.825,97.2
B1090,18-May-2024,NEPAL PC,Perfume,1.561,1.032,1.065,0.947,100.57
B1093,16/01/2024,Pondicherry PC,Frisis,0.993,1.575,1.188,,
B1101,09-14-2024,Haridwar Pc,Noodles,,0.833,1.13,1.114,97.11
B1109,2024-11-10,llpl,Perfume,1.581,0.812,1.225,1.035,97.85
B1046,12-25-2024,Sumerpur,Noodles,1.669,1.272,1.218,1.046,98.0
B1035,28/04/2024,Nepal,Noodles,1.365,1.256,1.003,0.786,100.28
B1007,15-Dec-2024,HARIDWAR PC,Frisis,1.017,0.772,1.343,1.098,99.96
B1022,07-15-2024,Khamagon,Noodles,1.533,1.184,1.331,1.193,100.25
B1028,05-01-2024,Sumerpur Pc,Frisis,0.874,4.239,1.239,1.127,99.45
B1156,2024-04-16,Khamgoan,Noodles,1.364,1.105,1.424,1.337,99.51
B1162,11/10/2024,haridwar pc,Frisis,1.345,1.222,0.946,1.049,98.51
B1147,25/05/2024,Sumerpur Pc,PAS,1.432,0.595,1.263,0.976,98.01
B1164,09-04-2024,Sumerpur Pc,Perfume,0.822,1.288,1.256,1.075,98.96
B1174,03-06-2024,PONDICHERRY PC,Frisis,1.528,1.311,1.381,0.875,99.5
B1105,13-Feb-2024,Haridwar PC,Perfume,1.411,1.028,1.482,0.834,100.42
B1012,03/03/2024,llpl,Frisis,1.07,1.41,1.093,0.986,100.72
B1082,01/08/2024,SUMERPUR PC,PAS,1.318,0.996,1.13,1.161,98.57
B1102,08/07/2024,Sumerpur,Perfume,1.24,,1.158,0.925,98.93
B1146,2024-05-17,Khamagon,Noodles,1.216,1.495,1.241,0.738,
B1126,28/05/2024,LLPL,Frisis,1.131,,0.804,1.26,98.23
B1168,2024-05-25,Khamagon,PAS,1.447,1.538,1.052,0.937,99.65
B1119,09/11/2024,Pondichery PC,Perfume,1.136,,1.095,0.98,99.83
B1002,2024-11-06,SUMERPUR PC,Perfume,1.332,0.721,1.506,0.927,102.67
B1111,08/02/2024,Nepal PC,Noodles,N/A,1.45,1.437,1.304,100.58
B1157,24-Aug-2024,Nepal PC,Noodles,1.075,1.198,0.986,,102.25
B1124,05-Nov-2024,Haridwar,Perfume,,1.108,1.11,0.917,97.4
B1155,14/05/2024,PONDICHERRY PC,PAS,0.892,0.985,1.41,1.086,100.3
B1150,2024-08-05,HARIDWAR PC,Perfume,1.945,0.939,1.578,1.386,98.67
B1112,08-08-2024,Khamagon,Perfume,1.254,0.852,1.087,1.313,96.87
B1189,05-05-2024,Sumerpur PC,Noodles,1.424,-,1.38,1.355,
B1133,2024-07-11,Khamgoan,Noodles,1.442,1.426,1.174,1.009,98.63
B1169,11-12-2024,Sumerpur Pc,Noodles,1.619,1.166,1.1,1.36,99.67
B1155,31-Jul-2024,HARIDWAR PC,Frisis,1.683,1.078,1.33,1.188,98.9
B1049,2024-06-18,Khamagon,Perfume,0.905,1.103,1.202,1.215,100.84
B1011,10-Jul-2024,PONDICHERRY PC,Frisis,1.422,,1.399,0.992,102.58
B1007,2024-06-15,haridwar pc,Perfume,1.274,0.701,0.99,1.359,101.48
B1018,22/05/2024,Pondicherry PC,Perfume,0.859,1.165,1.173,0.915,100.42
B1121,2024-07-07,Khamagon,Perfume,0.615,,1.158,0.989,97.21
B1080,27-Mar-2024,Llpl,Perfume,,0.902,1.029,1.086,101.59
B1095,10-26-2024,NEPAL PC,Perfume,1.1,1.462,1.322,1.129,100.52
B1164,2024-10-26,Pondicherry,Noodles,,1.55,1.446,0.985,95.75
B1059,2024-03-18,LLPL ,Noodles,,1.065,1.172,1.047,100.79
B1010,06/09/2024,LLPL ,Perfume,1.41,1.096,1.36,1.095,101.55
B1003,25/12/2024,sumerpur pc,Noodles,,0.859,1.036,1.187,99.25
B1064,2024-02-17,Nepal,Frisis,1.529,1.166,,0.944,100.27
B1025,09-Jan-2024,Nepal PC,Noodles,1.563,1.092,1.386,,99.54
B1149,17-Sep-2024,Pondicherry,Frisis,1.387,1.3,0.671,1.468,99.29
B1144,04-May-2024,NEPAL PC,Frisis,N/A,1.222,1.032,0.987,101.32
B1172,11-10-2024,Haridwar Pc,PAS,1.443,0.749,1.666,0.989,99.64
B1171,2024-07-29,Khamgaon,Perfume,1.361,1.149,1.149,0.956,99.85
B1002,14-Nov-2024,Haridwar,Noodles,1.322,1.04,1.268,0.652,99.17
B1042,09-03-2024,Nepal,Perfume,1.178,1.142,1.427,0.957,98.57
B1132,09-20-2024,Sumerpur,Noodles,1.257,1.103,,0.831,97.34
B1146,17-Mar-2024,Pondicherry PC,Noodles,0.987,1.375,1.405,1.13,98.47
B1193,24-Jan-2024,L.L.P.L,Noodles,1.483,1.084,1.266,0.65,100.87
B1092,08-06-2024,LLPL,Perfume,1.381,,1.192,,97.02
B1071,02-Apr-2024,Nepal Pc,Frisis,1.45,0.999,1.203,0.812,98.97
B1112,2024-08-27,L.L.P.L,Perfume,0.925,1.133,1.079,1.042,98.7
B1171,16/12/2024,Pondicherry PC,PAS,1.699,,1.081,0.852,96.27
B1101,2024-08-11,Sumerpur,Noodles,,1.2,1.54,1.242,102.73
B1031,2024-01-03,Pondicherry,PAS,1.646,1.213,1.369,,100.78
B1139,2024-07-08,Pondicherry PC,PAS,1.324,1.294,1.11,0.984,98.91
B1019,2024-01-04,Khamgaon,Noodles,1.233,0.879,1.765,1.062,
B1144,07-17-2024,Khamagon,Perfume,1.514,,1.452,,101.8
B1097,12-Jul-2024,SUMERPUR PC,Perfume,1.646,1.302,0.924,1.106,97.91
B1173,26-Oct-2024,LLPL ,Perfume,1.157,1.047,1.169,1.53,99.47
B1099,16-Dec-2024,Nepal PC,Frisis,1.46,0.871,,1.377,97.78
B1176,08-21-2024,KHAMGAON,Frisis,1.401,1.282,1.21,1.062,100.47
B1162,2024-01-03,sumerpur pc,Perfume,1.629,1.18,1.687,0.976,99.81
B1101,11-17-2024,LLPL,Noodles,1.663,0.925,1.409,0.99,98.29
B1112,2024-09-26,KHAMGAON,Noodles,1.117,,0.994,1.003,102.31
B1088,03-Oct-2024,Khamagon,Perfume,N/A,,1.104,0.743,100.87
B1031,2024-01-03,Pondicherry,PAS,1.646,1.213,1.369,,100.78
B1044,04-24-2024,HARIDWAR PC,Perfume,1.367,-,1.358,1.06,101.31
B1070,07/03/2024,Llpl,Noodles,1.232,3.993,1.632,1.263,96.81
B1034,08-14-2024,Haridwar PC,PAS,1.042,1.09,1.325,0.899,
B1011,2024-05-13,PONDICHERRY PC,Frisis,1.502,,1.001,1.272,98.44
B1140,2024-06-22,haridwar pc,Noodles,1.169,1.074,0.843,,100.6
B1162,02-02-2024,Sumerpur PC,Frisis,1.407,1.142,1.304,0.795,97.88
B1163,08-Feb-2024,Khamgaon,PAS,1.09,,1.283,0.977,100.38
B1199,2024-01-16,nepal pc,Noodles,1.541,1.183,,1.214,102.35
B1108,12-24-2024,Khamgaon,Noodles,N/A,0.989,1.443,,100.96
